English,German
the,das
be,sein
and,und
of,von
a,a
in,in
to,zu
have,haben
to,zu
it,es
I,ich
that,das
for,zum
you,Sie
he,er
with,mit
on,an
do,tun
s,s
say,sagen
they,sie
this,Dies
but,aber
at,bei
we,wir
his,seine
from,aus
that,das
not,nicht
n't,n't
by,durch
or,oder
she,sie
as,wie
what,was
go,gehen
their,ihr
will,Wille
who,wer
can,kann
get,erhalten
if,wenn
all,alle
would,möchten
her,Sie
make,machen
about,um
my,mein
know,kennt
as,wie
there,dort
one,eines
up,hoch
time,Zeit
year,Jahr
so,Also
think,denken
see,sehen
which,die
when,Wenn
some,etwas
them,Sie
people,Personen
take,nehmen
me,mich
out,aus
into,hinein
just,nur
him,ihn
come,Kommen Sie
your,dein
now,jetzt
could,könnte
than,als
like,wie
other,Sonstiges
then,dann
how,wie
its,es ist
two,zwei
our,unser
more,mehr
these,diese
want,wollen
way,Weg
no,nein
look,sehen
first,Erste
also,Auch
new,Neu
because,Weil
day,Tag
more,mehr
use,verwenden
man,Mann
here,hier
find,finden
give,geben
thing,Ding
well,Gut
many,viele
only,nur
those,diese
tell,erzählen
very,sehr
one,eines
even,eben
her,Sie
back,der Rücken
any,irgendein
good,gut
us,uns
through,durch
woman,Frau
life,Leben
child,Kind
there,dort
down,Nieder
work,Arbeit
after,nach
call,Anruf
may,kann
world,Welt
over,Über
should,sollte
still,still
try,Versuchen
in,in
school,Schule
as,wie
last,letzte
ask,Fragen
too,zu
need,brauchen
three,drei
feel,Gefühl
when,Wenn
become,werden
state,Zustand
never,noch nie
between,zwischen
high,hoch
something,etwas
really,Ja wirklich
most,die meisten
another,Ein weiterer
much,viel
own,besitzen
family,Familie
out,aus
house,Haus
leave,verlassen
put,stellen
old,alt
on,an
while,während
mean,bedeuten
let,Lassen
why,warum
president,Präsident
keep,behalten
same,gleich
great,Großartig
begin,Start
big,groß
seem,erscheinen
group,Gruppe
country,Land
talk,sich unterhalten
problem,Problem
where,wo
turn,drehen
student,Schüler
every,jeder
hand,Hand
help,Hilfe
against,gegen
start,Anfang
American,amerikanisch
part,Teil
show,Show
about,um
over,Über
might,könnte
such,eine solche
place,Platz
again,wieder
city,Stadt
case,Fall
most,die meisten
few,wenig
system,System
week,Woche
where,wo
company,Gesellschaft
each,jeder
percent,Prozent
hear,hören
so,Also
during,während
question,Frage
right,Rechts
program,Programm
work,Arbeit
run,Lauf
number,Nummer
small,klein
government,Regierung
play,abspielen
off,aus
move,Bewegung
like,wie
always,stets
night,Nacht
believe,glauben
today,heute
hold,halt
point,Punkt
live,live
happen,passieren
bring,bringen
next,nächste
without,ohne
before,Vor
large,groß
must,muss
all,alle
war,Krieg
home,Heimat
under,unter
room,Zimmer
fact,Tatsache
area,Bereich
national,National
write,schreiben
money,Geld
right,Rechts
story,Geschichte
water,Wasser
mother,Mutter
different,anders
young,jung
month,Monat
lot,viel
book,Buchen
eye,Auge
study,lernen
job,Arbeit
kind,nett
word,Wort
issue,Ausgabe
side,Seite
four,vier
business,Geschäft
though,obwohl
head,Kopf
far,weit
long,lang
black,Schwarz
million,Million
both,beide
little,wenig
yes,Jawohl
after,nach
since,seit
around,um
long,lang
provide,zur Verfügung stellen
service,Service
important,wichtig
sit,mach Sitz
away,ein Weg
friend,Freund
however,jedoch
power,Energie
no,nein
yet,noch
father,Vater
hour,Stunde
often,häufig
until,bis um
political,politisch
line,Linie
end,Ende
stand,Stand
among,unter
game,Spiel
ever,je
lose,verlieren
bad,Schlecht
member,Mitglied
meet,Treffen
pay,Zahlen
law,Gesetz
almost,fast
car,Wagen
later,später
much,viel
name,Name
include,enthalten
five,fünf
center,Center
once,einmal
university,Universität
continue,fortsetzen
least,am wenigsten
real,real
white,Weiß
change,Rückgeld
set,einstellen
several,mehrere
ago,vor
information,Information
nothing,nichts
community,Gemeinschaft
best,Beste
right,Rechts
idea,Idee
lead,führen
body,Karosserie
learn,lernen
kid,Kind
minute,Minute
table,Tisch
whether,ob
understand,verstehe
team,Mannschaft
back,der Rücken
watch,Uhr
together,zusammen
follow,Folgen
around,um
only,nur
stop,Pause
face,Gesicht
anything,irgendetwas
public,Öffentlichkeit
social,Sozial
already,schon
parent,Elternteil
speak,sprechen
create,schaffen
office,Büro
allow,ermöglichen
level,eben
read,lesen
spend,verbringen
person,Person
door,Tür
sure,sicher
add,hinzufügen
street,Straße
such,eine solche
history,Geschichte
party,Party
grow,größer werden
reason,Grund
morning,Morgen
open,offen
within,innerhalb
change,Rückgeld
although,obwohl
walk,Spaziergang
news,Nachrichten
health,die Gesundheit
court,Gericht
force,Macht
early,frühzeitig
himself,selbst
air,Luft
low,niedrig
before,Vor
art,Kunst
result,Ergebnis
moment,Moment
offer,Angebot
both,beide
remember,denken Sie daran
research,Forschung
enough,genügend
girl,Mädchen
boy,Junge
win,gewinnen
food,Lebensmittel
across,über
guy,Kerl
second,zweite
able,fähig
toward,zu
maybe,kann sein
process,Prozess
off,aus
everything,alles
appear,erscheinen
age,das Alter
policy,Politik
consider,Erwägen
including,einschließlich
probably,wahrscheinlich
education,Ausbildung
love,Liebe
actually,eigentlich
buy,Kaufen
wait,Warten
die,sterben
human,Mensch
send,senden
fee,Gebühr
expect,erwarten von
serve,Dienen
sense,Sinn
teacher,Lehrer
home,Heimat
market,Markt
stay,bleibe
build,bauen
nation,Nation
fall,Herbst
oh,oh
death,Tod
plan,planen
interest,Interesse
someone,jemand
experience,Erfahrung
cut,schneiden
kill,töten
behind,hinter
reach,erreichen
six,sechs
local,lokal
remain,bleiben übrig
effect,Wirkung
suggest,empfehlen
use,verwenden
control,Kontrolle
perhaps,vielleicht
raise,heben
class,Klasse
late,spät
little,wenig
major,Haupt
yeah,ja
else,anders
pass,passieren
photo,Foto
sell,verkaufen
themselves,sich
field,aufstellen
college,Uni
sometimes,manchmal
former,ehemalige
development,Entwicklung
require,benötigen
along,eine lange
decide,sich entscheiden
security,Sicherheit
up,hoch
possible,möglich
effort,Anstrengung
role,Rolle
better,besser
rate,Bewertung
strong,stark
music,Musik
report,Bericht
leader,Führer
light,hell
whole,ganz
voice,Stimme
color,Farbe
heart,Herz
care,Pflege
police,Polizei
economic,wirtschaftlich
wife,Ehefrau
show,Show
mind,Geist
report,Bericht
finally,endlich
drug,Arzneimittel
less,weniger
return,Rückkehr
according,gemäß
pull,ziehen
decision,Entscheidung
explain,erklären
carry,tragen
develop,sich entwickeln
view,Aussicht
free,frei
hope,Hoffnung
even,eben
drive,Fahrt
son,Sohn
arm,Arm
department,Abteilung
TRUE,STIMMT
price,Preis
military,Militär-
federal,Bundes
break,Unterbrechung
action,Aktion
value,Wert
thank,danken
relationship,Beziehung
town,"Stadt, Dorf"
better,besser
building,Gebäude
receive,erhalten
society,Gesellschaft
difference,Unterschied
church,Kirche
full,voll
join,beitreten
road,Straße
because,Weil
international,International
model,Modell
position,Position
tax,MwSt
director,Direktor
early,frühzeitig
agree,zustimmen
matter,Angelegenheit
especially,besonders
form,bilden
record,Aufzeichnung
special,Besondere
ground,Boden
whose,Deren
hard,schwer
pick,wählen
paper,Papier
official,offiziell
season,Jahreszeit
wear,tragen
event,Veranstaltung
support,Unterstützung
space,Platz
player,Spieler
everyone,alle
couple,Paar
end,Ende
base,Base
project,Projekt
produce,produzieren
site,Seite? ˅
situation,Lage
hit,Schlag
industry,Industrie
half,halb
activity,Aktivität
American,amerikanisch
eat,Essen
itself,selbst
need,brauchen
figure,Zahl
cost,kosten
easy,einfach
quite,ziemlich
face,Gesicht
picture,Bild
clear,klar
cover,Startseite
describe,beschreiben
image,Bild
teach,unterrichten
wall,Mauer
doctor,Arzt
recent,jüngste
product,Produkt
data,Daten
practice,trainieren
phone,Telefon
piece,Stück
certain,sicher
either,entweder
oil,Öl
simply,einfach
test,Prüfung
personal,persönlich
star,Stern
land,Land
third,dritte
general,Allgemeines
computer,Computer
movie,Film
worker,Arbeiter
open,offen
catch,Fang
type,Typ
support,Unterstützung
north,Norden
love,Liebe
step,Schritt
attention,Aufmerksamkeit
technology,Technologie
organization,Organisation
baby,Baby
source,Quelle
draw,zeichnen
cause,weil
tree,Baum
film,Film
choose,wählen
evidence,Beweis
Republican,Republikaner
difficult,schwierig
century,Jahrhundert
nearly,fast
red,rot
look,sehen
point,Punkt
window,Fenster
park,Park
period,Zeitraum
culture,Kultur
hair,Haar
listen,Hören
chance,Chance
less,weniger
available,verfügbar
brother,Bruder
summer,Sommer
realize,realisieren
private,Privatgelände
no,nein
science,Wissenschaft
letter,Buchstabe
congress,Kongress
condition,Bedingung
short,kurz
likely,wahrscheinlich
opportunity,Gelegenheit
rule,Regel
choice,Auswahl
single,Single
place,Platz
patient,Geduldig
floor,Boden
term,Begriff
material,Material
mile,Meile
administration,Verwaltung
well,Gut
course,Kurs
defense,Verteidigung
plant,Pflanze
energy,Energie
campaign,Kampagne
population,Population
fire,Feuer
close,nah dran
daughter,Tochter
involve,einbeziehen
husband,Ehemann
wrong,falsch
certainly,sicherlich
increase,Zunahme
future,Zukunft
south,Süden
medical,medizinisch
call,Anruf
board,Tafel
anyone,jeder
deal,handeln
hospital,Krankenhaus
rest,sich ausruhen
seek,suchen
myself,mich selbst
county,Bezirk
fight,Kampf
subject,Thema
risk,Risiko
order,bestellen
west,Westen
economy,Wirtschaft
quickly,schnell
throw,Wurf
bed,Bett
officer,Offizier
represent,vertreten
soon,demnächst
top,oben
fill,füllen
author,Autor
past,vorbei an
upon,auf
goal,Tor
behavior,Verhalten
drop,fallen
nature,Natur
agency,Agentur
plan,planen
recently,in letzter Zeit
second,zweite
store,Laden
foreign,ausländisch
current,aktuell
performance,Leistung
bank,Bank
sound,Klang
push,drücken
focus,Fokus
reduce,reduzieren
note,Hinweis
before,Vor
fine,fein
near,nahe
than,als
movement,Bewegung
common,gemeinsames
other,Sonstiges
billion,Milliarde
blood,Blut
page,Seite
concern,Anliegen
poor,Arm
enter,Eintreten
share,Teilen
each,jeder
series,Serie
usually,normalerweise
natural,natürlich
hot,heiß
race,Rennen
language,Sprache
river,Fluss
dead,tot
act,Handlung
significant,von Bedeutung
no,nein
response,Antwort
rise,Aufstieg
decade,Jahrzehnt
article,Artikel
thus,daher
seven,Sieben
shoot,schießen
east,Ost
animal,Tier
away,ein Weg
similar,ähnlich
save,sparen
factor,Faktor
central,zentral
occur,geschehen
committee,Komitee
serious,ernst
sport,Sport
lie,Lüge
beyond,Darüber hinaus
exactly,exakt
despite,Trotz
happy,glücklich
eight,acht
protect,beschützen
list,aufführen
size,Größe
quality,Qualität
pressure,Druck
accept,annehmen
ready,bereit
approach,sich nähern
sign,Schild
attack,Attacke
individual,Individuell
career,Werdegang
answer,Antworten
dog,Hund
media,Medien
thought,Gedanke
whatever,wie auch immer
determine,bestimmen
television,Fernsehen
meeting,treffen
scene,Szene
success,Erfolg
prepare,vorbereiten
identify,identifizieren
press,Drücken Sie
particularly,im Speziellen
resource,Ressource
amount,Menge
argue,streiten
recognize,erkenne
treatment,Behandlung
left,links
degree,Grad
stock,Lager
indicate,angeben
growth,Wachstum
simple,einfach
ability,Fähigkeit
dollar,Dollar
union,Union
disease,Erkrankung
everybody,alle
wonder,sich fragen
election,Wahl
loss,Verlust
box,Kasten
deal,handeln
herself,Sie selber
fund,Fonds
miss,fehlschlagen
pretty,hübsch
region,Region
feeling,Gefühl
lay,legen
training,Ausbildung
message,Botschaft
arrive,ankommen
standard,Standard
outside,außen
fail,scheitern
trade,handeln
staff,Mitarbeiter
benefit,Nutzen
character,Charakter
army,Heer
association,Verband
operation,Betrieb
present,gegenwärtig
crime,Verbrechen
name,Name
cup,Tasse
island,Insel
analysis,Analyse
check,überprüfen
answer,Antworten
photograph,Foto
glass,Glas
forward,nach vorne
authority,Behörde
earth,Erde
stage,Bühne
one,eines
act,Handlung
sort,Sortieren
station,Bahnhof
clearly,deutlich
little,wenig
compare,vergleichen
indeed,in der Tat
public,Öffentlichkeit
knowledge,Wissen
state,Zustand
blue,blau
example,Beispiel
strategy,Strategie
mountain,Berg
guess,erraten
sister,Schwester
force,Macht
gun,Pistole
various,verschiedene
laugh,Lachen
environment,Umgebung
design,Entwurf
sun,Sonne
lawyer,Anwalt
sex,Sex
rather,eher
artist,Künstler
club,Verein
prove,beweisen
section,Sektion
skill,Können
truth,Wahrheit
set,einstellen
ok,OK
manager,Manager
executive,Executive
district,Bezirk
claim,Klage
forget,vergessen
hang,aufhängen
entire,gesamte
leg,Bein
enough,genügend
design,Entwurf
close,nah dran
study,lernen
since,seit
environmental,Umwelt
establish,Gründen
democratic,demokratisch
remove,Löschen
main,hauptsächlich
professor,Professor
financial,finanziell
enjoy,Viel Spaß
network,Netzwerk
sound,Klang
discuss,diskutieren
form,bilden
final,Finale
trial,Studie
legal,legal
help,Hilfe
cold,kalt
above,Oben
rock,Felsen
that,das
seat,Sitz
weapon,Waffe
song,Lied
expert,Experte
radio,Radio
nice,Hübsch
avoid,vermeiden
memory,Erinnerung
management,Management
charge,aufladen
spring,Frühling
card,Karte
maintain,pflegen
theory,Theorie
care,Pflege
visit,Besuch
imagine,vorstellen
finish,Fertig
statement,Aussage
firm,Feste
huge,riesig
respond,antworten
popular,Beliebt
hard,schwer
physical,physisch
talk,sich unterhalten
traditional,traditionell
contain,enthalten
peace,Frieden
green,grün
thanks,Danke
control,Kontrolle
Democrat,Demokrat
base,Base
impact,Einschlag
structure,Struktur
tonight,heute Abend
note,Hinweis
direction,Richtung
fly,fliegen
onto,auf zu
king,König
reveal,aufdecken
cell,Zelle
religious,religiös
ball,Ball
particular,besondere
employee,Angestellter
head,Kopf
suddenly,plötzlich
apply,anwenden
shake,Shake
cultural,kulturell
chair,Stuhl
PM,PM
justice,Gerechtigkeit
discover,entdecken
measure,messen
politics,Politik
manage,verwalten
treat,behandeln
yourself,dich selbst
pain,Schmerzen
evening,Abend
rather,eher
unit,Einheit
affect,beeinträchtigen
play,abspielen
production,Produktion
bit,bisschen
inside,Innerhalb
far,weit
range,Angebot
top,oben
worry,Sorge
perform,ausführen
necessary,notwendig
conference,Konferenz
individual,Individuell
candidate,Kandidat
museum,Museum
specific,Spezifisch
best,Beste
throughout,hindurch
hall,Halle
past,vorbei an
fish,Fische
trip,Reise
mention,nennen
edge,Kante
trouble,Problem
interview,Interview
style,Stil
middle,Mitte
cause,weil